title;category_slug;verdict;explanation;alternatives;keywords;dtu_refs
"Plaquage de pierre naturelle sur cloison placo ?";"murs";"conditional";"Charge max placo standard ≤30 kg/m². Plaquage pierre = 40-80 kg/m² → renforcement obligatoire (placo BA18 ou doublage OSB derrière). Colle pierre + crochets de sécurité tous les 0,5 m².";"Plaquage en ardoise/parement composite plus léger (15-25 kg/m²), ou pose sur mur maçonné porteur.";"plaquage pierre, parement, placo, charge, doublage";""
"Parement bois sur isolant intérieur PSE/PUR ?";"murs";"conditional";"Le PSE/PUR doit être protégé par parement écran à la diffusion (BA13 + frein-vapeur). Parement bois directement collé sur PSE = risque condensation interne, dégradation isolant.";"Pose sur tasseaux fixés au mur porteur traversant l'isolant, ou pose sur BA13 préalablement vissé sur ossature.";"parement bois, PSE, PUR, frein-vapeur, condensation";""
"Crépi extérieur appliqué sur enduit ancien ?";"murs";"conditional";"Le support doit être cohésif (test : gratter, rien ne se détache), nettoyé HP, primaire fixateur. Si l'enduit ancien sonne creux par zones : piquer et reboucher au mortier de chaux.";"Décrépir totalement et repartir en mortier neuf, ou ITE par-dessus en finition crépi sur isolant.";"crépi extérieur, enduit ancien, fixateur, ITE";"DTU 26.1"
"Peinture intérieure mur exposé sud (variations thermiques) ?";"murs";"conditional";"Mur exposé chauffe à 30-40°C en été : peintures bas de gamme craquellent, microfissures sur enduit. Choisir peinture résiste UV et thermique (qualité bâtiment, élastique).";"Peinture acrylique pliolite ou siloxane (façade), papier peint intissé bonne tenue thermique.";"peinture, mur sud, UV, thermique, élastique, pliolite";""
"Moisissure derrière placard contre mur froid ?";"murs";"conditional";"Symptôme d'un pont thermique + mauvaise ventilation. Nettoyage à l'eau de Javel (1/3) puis traitement fongicide. Sans isoler le mur ou créer de la ventilation : récidive en 6-12 mois.";"Isolation intérieure (laine de bois, polystyrène) + frein-vapeur, ou écarter le placard de 5-10 cm + grille d'aération basse/haute.";"moisissure, placard, pont thermique, fongicide, isolation";""
"Peindre par-dessus une ITE ?";"murs";"conditional";"Possible uniquement avec peintures façade compatibles (acrylique, pliolite, siloxane) et seulement si la finition d'origine est en bon état. Vérifier l'avis technique de l'ITE.";"Application d'un nouvel enduit de finition par un applicateur ITE certifié, ou laisser l'enduit existant.";"ITE, peinture façade, pliolite, siloxane, avis technique";""
"Fixer une étagère lourde sur mur isolé par l'intérieur ?";"murs";"conditional";"L'isolant (PSE/laine) ne supporte pas la charge. Vis traversantes vers le mur porteur via tiges filetées ou chevilles longues atteignant la maçonnerie. Charge max selon scellement.";"Étagère sur ossature traversant l'isolant, ou support vertical au sol indépendant du mur.";"étagère, isolation intérieure, cheville longue, scellement, tige filetée";""
"Suspendre une TV sur mur béton (vs placo) ?";"murs";"compatible";"Béton plein supporte 50-100 kg avec chevilles à expansion ou scellement chimique sur 2 points. Aucun problème pour TV jusqu'à 85 pouces. Prévoir percement diamantine si béton armé.";"";"TV, mur béton, cheville expansion, scellement chimique, suspendre";""
"Peindre sur enduit gratté décoratif ?";"murs";"conditional";"Possible si enduit en bon état. La texture absorbe 1,5-2× plus de peinture. Sous-couche fixateur + 2 couches finition au rouleau poils longs (15 mm).";"Lisser l'enduit gratté à l'enduit de lissage 2 mm puis peindre, ou décaper l'enduit (très long).";"enduit gratté, peinture, rouleau poils longs, fixateur";""
"Lessivage avant peinture obligatoire ?";"murs";"compatible";"Oui si support sale, gras ou poussiéreux. Lessive ST Marc ou cristaux de soude dilués, rinçage à l'eau claire, séchage 24 h. Sans lessivage : décollement précoce de la peinture.";"";"lessivage, ST Marc, cristaux soude, peinture, accrochage";""
"Enduit imitation béton sur béton cellulaire ?";"murs";"compatible";"Compatible si primaire d'accrochage minéral spécifique béton cellulaire. Préparation soignée (poussière), application 2 couches fines (1-2 mm), finition cire ou hydrofuge selon usage.";"";"enduit imitation béton, béton cellulaire, primaire minéral";""
"Peinture chaux sur placo ?";"murs";"conditional";"Tient mal sur placo (support fermé peu absorbant) : adhérence aléatoire, écaillage. Nécessite primaire spécifique chaux ou base minérale. Sinon réservé aux supports minéraux poreux.";"Peinture acrylique mate effet chaux (rendu proche, tenue garantie), enduit décoratif type Tadelakt sur primaire.";"peinture chaux, placo, support fermé, écaillage";""
"Peinture sur radiateur en fonte ancien ?";"murs";"conditional";"Décapage complet (brosse métal, chimique ou sablage), antirouille au phosphate de zinc, peinture spéciale haute température (≥120°C) en bombe ou pinceau. Sinon écaillage thermique en 1-2 ans.";"Sablage en atelier puis thermolaquage (rendu pro, ~80-150 €/élément), peinture aérosol radiateur 2 couches.";"radiateur fonte, peinture, antirouille, haute température, sablage";""
"Tapisserie textile (papier intissé) en couloir étroit ?";"murs";"conditional";"OK si trafic modéré et hauteur >1,2 m (frottements épaule). En soubassement : prévoir lambris ou peinture lessivable jusqu'à 1 m.";"Peinture satinée lessivable, lambris MDF en soubassement, papier vinyle classe 4-5 (très lessivable).";"papier intissé, couloir, frottement, soubassement, classement";""
"Fixer un lavabo sur mur creux (placo) ?";"murs";"forbidden";"Charge dynamique d'un lavabo + utilisateur : 80-150 kg en porte-à-faux. Placo standard arrache. Bâti-support fixé sol/plafond ou renfort OSB intégré obligatoire.";"Bâti-support type Geberit Duofix lavabo (300-500 €), ou ouvrir la cloison et intégrer une plaque OSB de répartition.";"lavabo, mur creux, bâti-support, OSB, charge dynamique";""
"Cloison phonique entre bureau et chambre ?";"cloisons";"compatible";"Cloison BA13 phonique 98/48 + laine roche 70 mm densité 40 kg/m³ = 50-55 dB. Suffisant pour visioconférences sans gêne nocturne. Soigner les jonctions (compriband, joint acoustique).";"";"cloison phonique, bureau, chambre, BA13 phonique, laine de roche";"DTU 25.41"
"Cloison vitrée entre chambre et salle de bain ?";"cloisons";"conditional";"Verre feuilleté 8/8 sécurit obligatoire (norme NF), ouverture/aération de la SDB indispensable (VMC dédiée), film opacifiant si besoin d'intimité. Coût ~600-1500 €/m².";"Verrière atelier acier classique (moins de transparence en partie basse), cloison maçonnée + bandeau vitré.";"cloison vitrée, chambre, salle de bain, verre feuilleté, NF";""
"Cloison amovible (modulable) en bureau professionnel ?";"cloisons";"compatible";"Cloison sur rails repositionnable (Algaflex, Optima) : démontable sans gros œuvre, isolation phonique 38-44 dB selon modèle. Adaptée aux espaces évolutifs.";"";"cloison amovible, modulable, rail, bureau, isolation phonique";""
"Casser un linteau au-dessus d'une porte ?";"cloisons";"forbidden";"Le linteau reprend les charges au-dessus de l'ouverture (mur, plancher étage). Suppression sans étude = effondrement local. BET + IPN/poutre de remplacement obligatoires.";"Étude par BET (300-800 €), pose d'un IPN dimensionné, élargissement encadré par un pro qualibat.";"linteau, ouverture, IPN, BET, mur porteur";"NF P 06-100"
"Casser une cheminée non porteuse ?";"cloisons";"conditional";"OK si la cheminée et son conduit ne soutiennent rien (souche en toiture indépendante). Vérifier portance dalle/plancher pour la dépose des matériaux. Conduit en toiture à reboucher proprement (étanchéité).";"Habiller la cheminée (placo + niche déco), conserver comme élément décoratif, ou intégrer un poêle.";"cheminée, casser, conduit, souche, étanchéité toiture";""
"Créer un placard intégré dans une cloison existante ?";"cloisons";"conditional";"Faisable si cloison non porteuse et profondeur disponible ≥40 cm. Recoupement structure cloison (montants verticaux à conserver tous les 60 cm) + reprise habillage placo + portes coulissantes ou battantes.";"Placard rapporté en saillie (gain de profondeur < cloison existante), dressing IKEA Pax devant un pan plein.";"placard intégré, cloison, recoupement, dressing, montants";"DTU 25.41"
"Suspendre des meubles muraux haute capacité (cuisine, bibliothèque) ?";"cloisons";"conditional";"Charge cuisine pleine ≈40-60 kg/m linéaire. Sur placo standard : rail Knauf ou OSB intégré dans la cloison obligatoire. Sur mur maçonné : chevilles à expansion/scellement chimique selon support.";"Rail Knauf K231 caché dans la cloison à la pose, panneau OSB 18 mm intégré dans l'ossature, étagère sur consoles ancrées au sol.";"meubles muraux, cuisine, bibliothèque, rail Knauf, OSB";""
"Cloison incurvée (courbe) en placo ?";"cloisons";"compatible";"Faisable avec rails flexibles cintrables (rayon mini 30 cm) + plaque BA6 (6 mm) cintrée à sec ou humide. Double parement BA6 final pour rigidité. Coût ~30-50 % plus cher qu'une cloison droite.";"";"cloison courbe, incurvée, BA6, rail flexible, cintrer";"DTU 25.41"
"Cloison entre pièce humide et pièce sèche ?";"cloisons";"conditional";"Plaque hydrofuge BA13H (verte) côté humide minimum. Frein-vapeur côté chaud, pas d'isolant non hydrophobe en cœur. Pour SDB : double parement hydrofuge + SPEC sous carrelage côté douche.";"Cloison maçonnée (carreau de plâtre hydrofuge ou Siporex) plus tolérante, ou Fermacell hydrofuge double face.";"cloison humide, hydrofuge, BA13H, frein-vapeur, Fermacell";"DTU 25.41"
"Cloison sur dalle béton sans frein-vapeur ?";"cloisons";"conditional";"Si dalle ancienne sans étanchéité : remontée capillaire dans les rails métalliques → corrosion, taches sur placo en pied. Bande d'arase bituminée ou pied de cloison étanche obligatoire.";"Bande d'arase EPDM sous rail bas, ou rails inox/galva renforcé en pied de cloison.";"cloison, dalle béton, remontée capillaire, bande arase, EPDM";"DTU 25.41"
"Cloison Fermacell vs placo BA13 ?";"cloisons";"compatible";"Fermacell (gypse + cellulose) : plus rigide, accroche les charges sans renfort (40 kg/vis), résistance feu et phonique supérieures. Plus cher (+30-50 %), pose au tournevis spécifique.";"";"Fermacell, placo, BA13, gypse cellulose, charges";"DTU 25.41"
"Cloison double mur avec lame d'air ?";"cloisons";"compatible";"Double cloison désolidarisée + lame d'air 2-5 cm + laine minérale 70 mm = 60-65 dB d'affaiblissement. Solution audiophile pour studio musique, home cinéma. Encombrement 20-25 cm total.";"";"cloison double, lame air, studio, audiophile, désolidarisée";"DTU 25.41"
"Receveur de douche encastré sur plancher étage (bois) ?";"sdb";"conditional";"Étanchéité SPEC + désolidarisation impérative pour absorber les mouvements du bois. Recevoir extra-plat de préférence (poids réduit). Vérifier portance solives : 200 kg en service localisés.";"Receveur posé sur plancher avec siphon vertical traversant, ou douche italienne avec chape légère et caniveau périphérique.";"receveur encastré, plancher étage, SPEC, solives, désolidarisation";"DTU 52.2"
"Vasque en pierre massive sur meuble suspendu ?";"sdb";"conditional";"Vasque pierre 15-40 kg en porte-à-faux : meuble suspendu doit être fixé sur mur maçonné ou bâti renforcé. Sur placo seul : arrachement à terme.";"Meuble posé au sol (plus tolérant), vasque céramique allégée, bâti-support type Geberit pour vasque.";"vasque pierre, meuble suspendu, charge, bâti-support, fixation";""
"Miroir chauffant en SDB ?";"sdb";"conditional";"Pratique anti-buée mais consommation 50-150 W en continu pendant douche. Branchement classe II IPX4 mini en zone 2 (au-delà de 60 cm de la douche). Ligne dédiée recommandée.";"Spot chauffant infrarouge plafond ciblé sur miroir, ou simple ventilation forcée à la sortie de douche.";"miroir chauffant, anti-buée, IPX4, zone 2, ligne dédiée";"NF C 15-100"
"Bonde de sol douche italienne sans pente correcte ?";"sdb";"forbidden";"Pente <1 % = stagnation d'eau, joints encrassés, odeurs. Pente correcte 1,5-2 % vers caniveau ou bonde, sur 1-1,5 m de longueur.";"Reprendre la chape avec ravoirage incorporant la pente, ou poser un receveur extra-plat à pente intégrée.";"bonde de sol, douche italienne, pente, stagnation, caniveau";"DTU 52.2"
"Éclairage IP44 obligatoire en zone 1 SDB ?";"sdb";"compatible";"Zone 1 (au-dessus du receveur, 0-2,25 m) = IPX4 minimum, classe II, alimenté en TBTS 12 V ou via différentiel 30 mA. Spots LED IP65 préférables pour durée de vie.";"";"éclairage SDB, IP44, IP65, zone 1, classe II, TBTS";"NF C 15-100"
"Construire une douche en parpaing dans une SDB ?";"sdb";"conditional";"Parpaing creux = lourd (200-300 kg/m²), nécessite portance suffisante (refusé sur plancher bois étage). Étanchéité SPEC obligatoire avant carrelage. Préférer carreau de plâtre hydrofuge ou Siporex.";"Carreau de plâtre hydrofuge (plus léger, plus rapide), Siporex 7,5 cm, ossature placo hydrofuge avec doublage.";"douche parpaing, portance, SPEC, Siporex, carreau plâtre";"DTU 52.2"
"Plancher chauffant en salle de bain ?";"sdb";"compatible";"Excellent confort pieds nus. Plancher chauffant électrique extra-plat (ép. 3-5 mm) avec sonde de sol, ou hydraulique extra-plat. Carrelage obligatoire en finition pour la conduction.";"";"plancher chauffant, SDB, électrique, sonde, conduction";"DTU 65.14"
"Carrelage XXL en pente de douche ?";"sdb";"discouraged";"Le grand format ne suit pas les pentes complexes (croupes vers caniveau central) sans coupes multiples. Joints qui s'ouvrent en linéaire de pente. Format ≤30×30 préférable au sol douche.";"Mosaïque 5×5 au sol de douche (suit la pente), receveur résine extra-plat à pente intégrée.";"carrelage XXL, douche, pente, mosaïque, receveur";"DTU 52.2"
"Sèche-serviette posé sur muret de douche ?";"sdb";"conditional";"OK si muret >120 cm haut (au-delà du volume 2) et appareil IPX4 classe II minimum. Fixation par scellement chimique dans muret carrelé. Ligne dédiée 16 A obligatoire.";"Sèche-serviette en zone 3 hors volume, sur mur classique perpendiculaire au muret.";"sèche-serviette, muret douche, IPX4, zone 2, ligne dédiée";"NF C 15-100"
"Baignoire-douche acrylique vs fonte ?";"sdb";"compatible";"Acrylique : légère (20-30 kg), bon marché, chaude au toucher, durée 15-20 ans. Fonte émaillée : lourde (80-150 kg, vérifier portance plancher), inaltérable, garde la chaleur, durée 50+ ans.";"";"baignoire, acrylique, fonte, portance, durée";""
"Meuble suspendu sur cloison alvéolaire en SDB ?";"sdb";"forbidden";"L'alvéolaire ne tient pas la charge d'un meuble vasque (30-80 kg + utilisation). Arrachement systématique. Meuble au sol obligatoire ou cloison renforcée OSB.";"Meuble vasque sur pieds, ou ouvrir la cloison et intégrer une plaque OSB 18 mm avant rebouchage et carrelage.";"meuble suspendu, cloison alvéolaire, vasque, OSB, charge";""
"Miroir avec spots LED intégrés en SDB ?";"sdb";"conditional";"OK si miroir certifié IPX4 et alimentation classe II 12 V via transformateur. Mauvaise étanchéité de connexion arrière = court-circuit. Vérifier marquage NF.";"Miroir simple + appliques IPX4 séparées (rendu plus contrôlable, panne de l'un n'impacte pas l'autre).";"miroir LED, SDB, IPX4, transformateur, NF";"NF C 15-100"
"Évier sous plan de travail stratifié (sous-plan) ?";"cuisine";"discouraged";"Stratifié = panneau aggloméré recouvert : sa tranche n'est pas étanche. Eau s'infiltre par les bords sciés → gonflement, pourrissement en 2-5 ans. Évier à fleur ou en pose préférable.";"Évier en pose (encastré classique, joint silicone), évier sous plan en céramique avec plan compact (Dekton, Compact HPL), plan inox/granit.";"évier sous plan, stratifié, gonflement, sous-plan, étanchéité";""
"Plan de travail bois réversible (face inox) ?";"cuisine";"compatible";"Solution rare mais existante (fabricants spécialisés type Atelier 41). Bois côté visuel, inox côté découpe. Reportable, aucune contrainte technique majeure.";"";"plan de travail, bois, inox, réversible, sur-mesure";""
"Îlot central avec plaque sans hotte ?";"cuisine";"conditional";"VMC double-flux avec bouche cuisine très puissante (>500 m³/h en cuisson) ou plaque à induction avec aspiration intégrée (Bora, Siemens). Sans extraction : odeurs, graisses partout dans la pièce.";"Hotte plafond suspendue îlot (esthétique mais visible), hotte plan-de-travail télescopique, plaque à aspiration intégrée (1500-3500 €).";"îlot central, hotte, plaque aspiration, VMC, Bora";"DTU 68.3"
"Réfrigérateur encastré sans grille de ventilation ?";"cuisine";"forbidden";"Le compresseur a besoin de circulation d'air arrière/haut/bas (ouverture totale ≥200 cm² selon modèle). Sans : surchauffe, surconsommation 30-50 %, panne en 2-3 ans.";"Grilles de ventilation au socle ET sur le caisson haut, ou réfrigérateur pose libre dans niche aérée.";"réfrigérateur encastré, ventilation, grille, surchauffe, compresseur";""
"Four en colonne basse vs colonne haute ?";"cuisine";"compatible";"Four basse (sous plan) : enfournement debout penché, contrainte dos. Four haute (à hauteur d'épaule) : enfournement direct, plus ergonomique mais cher (caisson colonne).";"";"four colonne, hauteur, ergonomie, enfournement";""
"Micro-ondes encastré au-dessus du four ?";"cuisine";"conditional";"OK si caisson colonne ventilé prévu pour double appareil + alimentation 16 A séparée pour chaque appareil (four = 16 A dédié, micro-ondes = ligne dédiée). Vérifier puissance cumulée tableau.";"Micro-ondes en niche dédiée latérale (ergonomique), micro-ondes posé sur étagère.";"micro-ondes encastré, colonne, ventilation, ligne dédiée";"NF C 15-100"
"Crédence en miroir derrière plaque ?";"cuisine";"conditional";"Miroir trempé 6 mm minimum, résistant choc thermique. Joint silicone alimentaire périphérique. Eviter contact direct avec brûleurs gaz (>200°C). Salissures très visibles.";"Crédence verre trempé laqué dépoli, inox brossé (cache traces), carrelage métro brillant pour effet réfléchissant.";"crédence miroir, verre trempé, plaque, joint silicone";""
"Crédence en panneau de verre brut (non trempé) ?";"cuisine";"forbidden";"Verre non trempé = casse au choc thermique (passage du bouilloire au plan tiède). Risque éclats coupants. Trempé obligatoire en cuisine.";"Verre trempé 6-8 mm laqué (sur-mesure 200-400 €/m²), inox 1-1,5 mm, panneau composite alimentaire.";"crédence verre, trempé, choc thermique, sécurité";""
"Prise sous plan de travail (intégrée) ?";"cuisine";"compatible";"Prise escamotable verticale ou bandeau coulissant : pratique, ne casse pas la crédence. Module IP44 si proche d'évier (<60 cm), ligne 16 A standard.";"";"prise sous plan, escamotable, IP44, bandeau";"NF C 15-100"
"Éclairage sous meuble haut sans transformateur ?";"cuisine";"forbidden";"LEDs basse tension nécessitent un transformateur 230 V → 12 ou 24 V. Direct 230 V = court-circuit. Si rubans 230 V : marquage IP20 minimum, certifié intégration meuble.";"Réglette LED 230 V intégrée (marque Aric, Paulmann), ou ruban 12 V avec transfo caché dans le meuble.";"éclairage meuble haut, transformateur, ruban LED, 12V, 230V";"NF C 15-100"
"Fond d'évier en céramique massive ?";"cuisine";"compatible";"Céramique pleine masse (Villeroy & Boch, Franke) : résistante, esthétique, pas de tartre incrusté. Lourde (30-50 kg) : prévoir caisson renforcé. Choc avec verre = casse possible (verre, pas céramique).";"";"évier céramique, massive, choc, caisson renforcé";""
"Bac à compost sous évier (ventilation) ?";"cuisine";"compatible";"Système trappe + bac amovible (Joseph Joseph, IKEA Hallbar) avec couvercle hermétique. Aération extérieure pas nécessaire si vidé tous les 2-3 jours. Filtre charbon contre odeurs.";"";"compost, sous évier, trappe, filtre charbon, hermétique";""
"Robinet col de cygne sur évier monobloc ?";"cuisine";"compatible";"Compatible si ouverture monotrou ≥35 mm + tablette dégagée (pas de fenêtre derrière). Hauteur recommandée 30-40 cm pour confort vaisselle. Préférer mitigeur thermostatique avec douchette.";"";"robinet col de cygne, évier monobloc, mitigeur, douchette";""
"Meuble sous évier sans ventilation arrière ?";"cuisine";"discouraged";"Humidité (fuites micro, condensation tuyaux) reste piégée → odeur, moisissures sur fond MDF. Grilles de ventilation 100 cm² + fond hydrofuge ou inox conseillé.";"Fond hydrofuge avec bac collecteur, ou ouverture découpée + grille de circulation d'air discrète.";"meuble sous évier, ventilation, MDF, moisissures";""
"Plaque à gaz au-dessus d'un lave-vaisselle ?";"cuisine";"discouraged";"Chaleur de cuisson (jusqu'à 80°C sous la plaque) accélère vieillissement plastiques lave-vaisselle. Garantie souvent annulée. Espacement 4-5 cm + isolant thermique recommandé.";"Lave-vaisselle adjacent (côté plaque), plaque induction (chauffe vers le haut, peu sous), four à hauteur d'épaule (libère le sous-plan).";"plaque gaz, lave-vaisselle, chaleur, isolant, garantie";""
"Tiroir casserolier sous plaque induction ?";"cuisine";"compatible";"L'induction chauffe la casserole, pas le plan. Tiroir directement sous la plaque autorisé sans isolant supplémentaire. Vérifier hauteur libre tiroir ≥10 cm pour ventilation.";"";"tiroir casserolier, induction, ventilation";""
"Cuisine en sous-sol (sans fenêtre) ?";"cuisine";"conditional";"VMC dédiée puissante obligatoire (200-300 m³/h cuisson), hotte évacuation extérieure ou puits canadien. Permis selon usage (résidence principale ou pièce secondaire). Pas de gaz sans détecteur CO2.";"Cuisine au RDC ou étage avec ouverture, kitchenette technique en sous-sol (pas de cuisson lourde).";"cuisine sous-sol, VMC, hotte, puits canadien, gaz";"DTU 68.3"
"Évier inox brossé vs satiné ?";"cuisine";"compatible";"Brossé : cache rayures, plus tolérant à l'usage. Satiné : reflète la lumière, magnifique mais marque chaque rayure. Différence purement esthétique, durabilité identique.";"";"évier inox, brossé, satiné, rayures";""
"Créer une trémie d'escalier dans un plancher existant ?";"structure";"conditional";"Étude obligatoire : redistribution des charges sur les solives adjacentes via chevêtre. Affaiblissement local nécessitant souvent renfort métallique. BET + entreprise qualifiée.";"BET structure (300-800 €), pose de chevêtre métallique, ou escalier extérieur (extension).";"trémie, escalier, chevêtre, BET, solives";"NF P 06-100"
"Abattre une cheminée porteuse (souche+conduit traversant) ?";"structure";"forbidden";"Si la cheminée participe à la stabilité (souche soutient pannes, ou conduit dans mur porteur) : effondrement local au démontage. Diagnostic structure préalable indispensable.";"BET pour pose de poutre/IPN de remplacement, ou conserver le conduit habillé en élément vertical.";"cheminée porteuse, souche, conduit, IPN, BET";"NF P 06-100"
"Isoler un sol contre dalle béton non isolée ?";"structure";"conditional";"Isolation par le dessus = perte HSP (4-10 cm) selon performance visée. Solutions : panneaux PSE/PUR sous chape, ou mousse PU projetée + ragréage. Vérifier portance dalle si surcharge.";"Isolation par-dessous (plafond cave/garage si accès), parquet sur lambourdes avec laine, ou plinthes chauffantes (sans isoler).";"isolation sol, dalle béton, PSE, PUR, HSP";""
