title;category_slug;verdict;explanation;alternatives;keywords;dtu_refs
"Peindre directement sur du papier peint ?";"murs";"conditional";"Possible si papier intact, bien collé, sans relief marqué. Sous-couche d'impression obligatoire. Le moindre décollement réapparaîtra. Garantie nulle si tu repeins par-dessus à terme.";"Décoller le papier (plus propre, plus durable) avant peinture.";"peinture, papier peint, sous-couche, décollement";""
"Papier peint dans une salle de bain ?";"murs";"discouraged";"Hors gamme spécifique vinyle SDB : décollement rapide aux jonctions, moisissures derrière. Toléré loin de la douche/baignoire seulement.";"Papier peint vinylique étanche labellisé SDB, peinture acrylique satinée spéciale pièces humides, lambris PVC.";"papier peint, salle de bain, vinyle, humidité";""
"Lambris bois en salle de bain ?";"murs";"conditional";"OK loin des projections d'eau (zones 2 et 3 NF C 15-100). En zone 1 (1 m autour douche/baignoire) : essence imputrescible (red cedar, mélèze) + lasure marine bi-composant.";"Carrelage, lambris PVC ou composite WPC, panneaux résine.";"lambris, bois, salle de bain, zones, étanchéité";""
"Enduit décoratif sur peinture brillante ?";"murs";"conditional";"Tient mal sans accrochage : appliquer une sous-couche d'accrochage spécifique (à grain) ou poncer puis primaire universel.";"Décaper la peinture, laver, primaire fixateur, puis enduit.";"enduit décoratif, peinture brillante, accrochage, sous-couche";""
"Crépi décoratif intérieur ?";"murs";"compatible";"Sur tous supports cohésifs avec primaire adapté. Excellente longévité, masque les défauts, lessivable selon finition.";"";"crépi intérieur, enduit gratté, taloché";"DTU 26.1"
"Tadelakt dans une douche italienne ?";"murs";"compatible";"Enduit chaux marocain naturellement étanche par compactage et savonnage. Garantie 30+ ans si appliqué par un applicateur formé.";"";"tadelakt, douche, étanchéité, chaux";""
"Peinture vinylique en cuisine ?";"murs";"discouraged";"Vinylique mat = absorbe graisses, fumées, traces. Lessivage agressif → décoloration. Inadaptée aux pièces grasses.";"Peinture acrylique satinée ou laque alkyde, peintures spéciales cuisine étiquetées lessivables A+.";"peinture cuisine, vinylique, lessivable, acrylique";""
"Peinture sur placo neuf sans préparation ?";"murs";"discouraged";"Sans sous-couche d'impression, l'absorption irrégulière entre bandes joints et plaques crée un effet \"mouchet\" visible en lumière rasante.";"Sous-couche d'impression spéciale plaque de plâtre, ponçage léger, puis 2 couches de finition.";"peinture, placo, plaque plâtre, sous-couche, mouchet";"DTU 25.41"
"Casser une cloison non porteuse ?";"cloisons";"compatible";"Faisable sans autorisation administrative si la cloison ne supporte aucune charge (test : tapoter, son creux + épaisseur ≤7 cm hors briques pleines). Vérifier qu'aucune gaine technique ne passe.";"";"casser cloison, non porteuse, gaines, tapoter";""
"Casser un mur porteur soi-même ?";"cloisons";"forbidden";"Étude par bureau d'études structure (BET) obligatoire + IPN dimensionné + déclaration préalable en mairie. Risque effondrement, non-couverture assurance, voire pénal.";"Faire intervenir un BET (300-800 €), entreprise qualifiée Qualibat 2113, ou architecte si copropriété.";"mur porteur, BET, IPN, qualibat, déclaration préalable";"NF P 06-100"
"Verrière atelier dans une cuisine ouverte ?";"cloisons";"compatible";"Aucune contrainte structurelle si la verrière remplace une cloison non porteuse ou est en partition libre. Laisse passer la lumière, sépare visuellement.";"";"verrière, atelier, cuisine ouverte, partition";""
"Cloison alvéolaire dans une chambre ?";"cloisons";"compatible";"OK pour séparer 2 chambres si charges légères (cadres, étagères murales <10 kg). Isolation phonique faible (~25-30 dB).";"Cloison placo 72/48 avec isolant laine de roche pour ~45 dB d'affaiblissement.";"cloison alvéolaire, chambre, isolation phonique";"DTU 25.41"
"Suspendre une TV >40 kg sur cloison placo standard ?";"cloisons";"discouraged";"Ossature 48 mm + plaque 13 mm = charge max ~15-20 kg en linéaire selon fixations. Au-delà : déformation, arrachement.";"Renforcer avec rail OSB intégré dans la cloison, fixer dans 2 montants, ou utiliser rail Knauf pour TV.";"TV, cloison placo, suspendre, charge, rail";""
"Cloison phonique entre 2 chambres ?";"cloisons";"compatible";"Cloison placo 98/48 double parement BA13 phonique + laine de roche 70 mm = 50-55 dB d'affaiblissement. Suffisant pour confort sommeil.";"";"cloison phonique, chambre, isolation acoustique, BA13";"DTU 25.41"
"Douche italienne sans receveur (à l'italienne) ?";"sdb";"conditional";"Étanchéité SPEC obligatoire (système de protection à l'eau sous carrelage), pente 1-2 % vers caniveau, désolidarisation périphérique. Pose à confier à un pro RGE pour garantie décennale.";"Receveur extra-plat à carreler, ou receveur résine de plain-pied.";"douche italienne, SPEC, étanchéité, pente, caniveau";"DTU 52.2"
"Baignoire installée en sous-sol ?";"sdb";"conditional";"OK si évacuation gravitaire possible (pente ≥1 cm/m vers regard). Sinon broyeur sanitaire spécial baignoire (Sanibroyeur Sanidouche, ~600-1000 €) — bruyant, maintenance régulière.";"Pompe de relevage classique, douche italienne (moins de débit).";"baignoire, sous-sol, broyeur, sanibroyeur, relevage";""
"Salle de bain sans VMC ?";"sdb";"forbidden";"Construction neuve : VMC obligatoire. Rénovation : forte humidité → moisissures sur joints, plafond, mobilier. Risque sanitaire à long terme.";"VMC simple flux hygroréglable, ou aérateur ponctuel à détection d'humidité (~80-150 € posé).";"VMC, salle de bain, ventilation, hygroréglable";"DTU 68.3"
"Mitigeur thermostatique obligatoire dans la douche ?";"sdb";"conditional";"Pas obligatoire en réglementation, mais fortement recommandé : protège des brûlures (T° max bloquée à 38-50°C), utile avec enfants/seniors. ERP : obligatoire.";"";"mitigeur thermostatique, brûlures, anti-brûlure, ERP";""
"Sèche-serviette branché sur prise classique ?";"sdb";"forbidden";"NF C 15-100 : sèche-serviette = appareil fixe, raccordement direct sur ligne dédiée 16 A protégée par disjoncteur différentiel 30 mA. Brancher sur prise = non-conformité + risque.";"Tirer une ligne dédiée 2,5 mm² depuis le tableau, prévoir le sèche-serviette en zone 2 minimum.";"sèche-serviette, prise, NF C 15-100, ligne dédiée, disjoncteur";"NF C 15-100"
"Carrelage 5x5 cm dans une douche ?";"sdb";"compatible";"Petit format = beaucoup de joints = très bonne adhérence pieds (pas glissant). Bien adapté pour pente du fond de douche.";"";"carrelage 5x5, mosaïque, douche, antidérapant";""
"Pierre naturelle (marbre, travertin) dans une douche ?";"sdb";"conditional";"Surface poreuse : nécessite hydrofuge/oléofuge dès la pose, à renouveler tous les 1-2 ans. Sensible aux produits acides (anti-calcaire). Magnifique mais exigeant.";"Carrelage imitation pierre, grès cérame effet marbre.";"marbre, pierre naturelle, douche, hydrofuge, travertin";""
"Vasque à poser sur meuble bois brut ?";"sdb";"discouraged";"Bois brut absorbe l'humidité au moindre éclaboussement → gonflement, taches noires. Si tu y tiens : vernir 3 couches polyuréthane bi-composant + remontée d'étanchéité périphérique.";"Vasque encastrée dans plan en céramique/résine, ou meuble plaqué stratifié hydrofuge.";"vasque, meuble bois brut, vernis, étanchéité";""
"Plan de travail bois massif près de l'évier ?";"cuisine";"conditional";"OK si essence dense (chêne, hêtre étuvé, noyer), huilée 3 fois à la pose puis 1×/an. Joint silicone périphérique évier obligatoire. Pas de stagnation d'eau.";"Plan en résine, granit, céramique, stratifié hydrofuge.";"plan de travail bois, évier, huile, joint silicone";""
"Hotte au charbon dans une cuisine fermée ?";"cuisine";"discouraged";"Recyclage = 70 % d'efficacité max sur les graisses, ~30 % sur les odeurs. Cuisine fermée → odeurs persistantes, condensation. Filtres à changer tous les 3-6 mois.";"Hotte à évacuation extérieure (gaine isolée Ø125-150), VMC double-flux avec bouche cuisine.";"hotte charbon, recyclage, cuisine fermée, évacuation";""
"Plaque induction posée sur meuble bois ?";"cuisine";"compatible";"Induction = chaleur dans la casserole, pas dans le plan. Aucun risque pour le meuble. Vérifier ventilation arrière (4-5 cm) et conformité poids supporté.";"";"induction, plaque, meuble bois, plan";""
"Lave-vaisselle 60 cm dans un emplacement 55 cm ?";"cuisine";"forbidden";"Tolérance ±5 mm max. Le meuble cintrera, la porte frottera, garantie nulle. Risque de fuite par déformation joint étanchéité.";"Lave-vaisselle compact 45 cm (12 couverts max), ou modifier l'emplacement (changer côtés du caisson).";"lave-vaisselle, dimension, 55cm, 60cm, encastrable";""
"Cuisine ouverte sans VMC dédiée ?";"cuisine";"discouraged";"Odeurs et graisses migrent dans tout le séjour, se déposent sur tissus, murs. Hotte recyclage insuffisante.";"Hotte évacuation extérieure + VMC ou ventilation mécanique cuisine performante (puits canadien si neuf).";"cuisine ouverte, VMC, hotte, odeurs, graisses";"DTU 68.3"
"Plan de travail béton ciré ?";"cuisine";"conditional";"Esthétique forte mais demande hydrofuge alimentaire renouvelé tous les 6-12 mois. Sensible aux acides (citron, vinaigre) qui marquent. Microfissures possibles.";"Granit, quartz reconstitué, céramique grand format, Dekton.";"béton ciré, plan de travail, hydrofuge alimentaire";""
"Aménager les combles sans toucher à la charpente ?";"structure";"conditional";"OK si charpente traditionnelle (fermes triangulées avec espace libre). Charpente fermette (industrielle) : aucune intervention sans étude BET → modification des fermes obligatoire.";"BET structure pour fermettes (1500-3000 €), entreprise qualifiée pour modification charpente avec attestation.";"combles, charpente, fermette, ferme, BET";""
"Couper une solive pour passer une gaine ?";"structure";"forbidden";"Affaiblit la portance → flèche, fissures, voire effondrement local. Alternative : passer la gaine au-dessus (faux-plafond) ou dans l'épaisseur sans toucher à la structure.";"Faux-plafond technique (BA13 sur ossature) pour passer gaines, ou perçage centré ≤1/3 de la hauteur si solive massive et étude validée.";"solive, charpente, gaine, perçage, structure";""
"Surélever une maison ancienne (+1 étage) ?";"structure";"conditional";"Étude de sol + diagnostic structure obligatoire. Fondations souvent insuffisantes : reprise en sous-œuvre nécessaire. Permis de construire obligatoire si SHON >20 m².";"Aménagement combles existants si possible, extension latérale plain-pied moins risquée.";"surélévation, étage, fondations, sous-œuvre, permis";""
"Aménager une cave en pièce de vie ?";"structure";"conditional";"Étanchéification verticale + ventilation mécanique + isolation thermique + apport de lumière (puits, escalier ouvert). Hauteur sous plafond ≥2,20 m réglementaire pour la chambre. Reprise en sous-œuvre si la HSP est insuffisante (lourd).";"Garder en cave technique/cave à vin, ou ne pas compter en surface habitable.";"cave aménagée, sous-sol habitable, étanchéité, sous-œuvre, HSP";""
"Véranda fixée sur mur d'une maison ancienne ?";"structure";"conditional";"Étude obligatoire : poids véranda + charges neige + tirant d'air sur mur souvent en pierre/brique non armée. Solidarisation par chevillage chimique + fixations dimensionnées BET.";"Véranda autoportante (4 poteaux) sans transmission de charge sur le mur.";"véranda, mur ancien, fixation, autoportante";""
"Terrasse bois sur une dalle béton ?";"exterieur";"compatible";"OK avec lambourdes traitées classe 4 sur plots réglables, espacement 40-50 cm, pente d'évacuation 1-2 %.";"";"terrasse bois, dalle béton, plots, lambourdes, classe 4";""
"Piscine enterrée >10 m² sans permis ?";"exterieur";"forbidden";"Code de l'urbanisme : piscine 10-100 m² = déclaration préalable obligatoire. >100 m² = permis de construire. Risque amende + démolition.";"Piscine ≤10 m² (pas de DP), kit hors-sol démontable.";"piscine, permis, déclaration préalable, urbanisme";""
"Abri de jardin >5 m² sans déclaration ?";"exterieur";"forbidden";"5-20 m² (et hauteur ≤12 m) = déclaration préalable. >20 m² = permis. Pas de déclaration = amende + obligation de démolir.";"Abri ≤5 m² (libre), ou DP sous 1 mois en mairie (gratuit).";"abri jardin, déclaration préalable, urbanisme, 5m2";""
"Pergola adossée >20 m² sans permis ?";"exterieur";"forbidden";"Pergola = surface créée. >20 m² (40 m² en zone urbaine PLU) = permis de construire obligatoire.";"Pergola libre <20 m² (DP simple), ou pergola autoportée sans accroche au bâti.";"pergola, adossée, permis, urbanisme";""
"Terrasse composite plein sud ?";"exterieur";"conditional";"Composite chauffe à 50-65°C en plein soleil → inconfortable pieds nus, risque d'expansion thermique. Choisir teintes claires, lames pleines (pas alvéolaires), prévoir dilatation 4 mm/m.";"Bois exotique (ipé, cumaru), pierre reconstituée, dalle céramique extérieur 20 mm.";"terrasse composite, plein sud, dilatation, chaleur";""
"Chauffer sa piscine au gaz ?";"exterieur";"discouraged";"Coût d'exploitation 2-3× supérieur à une PAC piscine. Émissions CO2 importantes. Aides financières absentes.";"Pompe à chaleur piscine (COP 4-6, ROI 3-5 ans), capteurs solaires si exposition favorable.";"piscine, gaz, PAC piscine, chauffage, COP";""
"Spa hors-sol >10 m² sans déclaration ?";"exterieur";"conditional";"<10 m² = libre, démontable = libre. >10 m² fixe = déclaration préalable obligatoire (assimilé piscine).";"Spa <10 m² (libre), ou faire la DP en mairie.";"spa, jacuzzi, déclaration, hors-sol";""
"Poêle à bois sans conduit existant ?";"chauffage";"conditional";"Création d'un conduit obligatoire : tubage inox isolé Ø150-180 mm, sortie en toiture conforme DTU 24.1, distances de sécurité aux matériaux combustibles. Coût conduit ~1500-3000 €.";"Poêle à pellets ventouse (sortie murale, plus simple), poêle électrique design.";"poêle à bois, conduit, tubage, DTU 24.1, ventouse";"DTU 24.1"
"Pompe à chaleur air-air en maison ancienne ?";"chauffage";"conditional";"Efficace si isolation correcte (≥R3 murs, R5 toit). Sur passoire thermique : surconsommation, déception. Diagnostic isolation obligatoire en amont.";"Isolation prioritaire (toit, murs, fenêtres), puis PAC. Ou granulés/pellets si maison très ancienne pierre.";"PAC air-air, maison ancienne, isolation, passoire";""
"Plancher chauffant hydraulique en rénovation sans dépose du sol ?";"chauffage";"conditional";"Possible avec PCBT extra-plat (ép. ~30-50 mm) à poser sur le sol existant. Demande HSP suffisante (perte 3-5 cm) + ragréage de finition + revêtement adapté.";"Radiateurs basse température (raccord PAC/condensation), plinthes chauffantes électriques.";"plancher chauffant, rénovation, PCBT extra-plat, HSP";"DTU 65.14"
"Cumulus dans une cuisine ?";"chauffage";"compatible";"Aucune restriction réglementaire. Mais points faibles : pas pratique (encombrant), bruit possible la nuit en heures creuses, peu d'isolation thermique de la pièce.";"Pièce technique, garage, sous-sol, ou ballon thermodynamique (cuisine si volume >20 m³).";"cumulus, ballon eau chaude, cuisine, thermodynamique";""
"Radiateur électrique dans le volume d'une douche (zone 0) ?";"chauffage";"forbidden";"NF C 15-100 : volume 0 = aucun appareil électrique. Zone 1 (au-dessus zone 0) : appareils IPX4 minimum, classe II uniquement.";"Sèche-serviette électrique en zone 2 (60 cm autour zone 1), classe II IPX4.";"radiateur, douche, zones, NF C 15-100, IPX4";"NF C 15-100"
"PAC géothermie en lotissement ?";"chauffage";"conditional";"Capteurs horizontaux : besoin de 1,5-2× la surface chauffée en jardin. Capteurs verticaux : forage ~10 000 €, autorisation préfecture si >10 m. Peu adapté petits terrains.";"PAC air-eau (pas de terrassement, ROI plus rapide), pellets.";"géothermie, PAC, capteurs, forage, lotissement";""
"Installation de chaudière fioul en neuf ?";"chauffage";"forbidden";"Décret n°2022-8 du 5 janvier 2022 : interdiction d'installer une chaudière fioul (neuf et remplacement de pannes >10 ans). Sauf si raccordement gaz/élec impossible.";"PAC air-eau, chaudière granulés, chaudière gaz à condensation (si gaz dispo), réseau de chaleur.";"chaudière fioul, interdiction, décret 2022, remplacement";""
"Prise électrique au-dessus d'une plaque de cuisson ?";"electricite";"forbidden";"NF C 15-100 : aucune prise dans un volume de 60 cm autour de la zone de cuisson + jamais juste au-dessus (risque projection eau bouillante, vapeur).";"Prises latérales à ≥40 cm de la plaque, ou réglette de prises sous meuble haut à 60 cm minimum.";"prise, plaque cuisson, distance, NF C 15-100";"NF C 15-100"
"Interrupteur dans une douche ?";"electricite";"forbidden";"Volume 0/1 = aucun appareillage. Volume 2 (60 cm autour) : interrupteur IPX4 classe II uniquement, et idéalement en cordelette.";"Interrupteur hors zone (à l'extérieur de la SDB), ou détection automatique.";"interrupteur, douche, IPX4, volume 2";"NF C 15-100"
"Tableau électrique dans la salle de bain ?";"electricite";"forbidden";"Tableau interdit dans la SDB, même hors zones humides. Doit être dans un local technique aéré, accessible.";"Couloir, placard ventilé, garage, cellier, escalier.";"tableau électrique, salle de bain, GTL, local technique";"NF C 15-100"
"Refaire son tableau électrique soi-même ?";"electricite";"conditional";"Légalement autorisé pour le propriétaire occupant. Mais : Consuel obligatoire pour mise en service (visite 150 €), respect strict NF C 15-100, assurance habitation peut refuser de couvrir un sinistre.";"Faire valider l'installation par un électricien IRVE/Qualifelec, ou tout sous-traiter.";"tableau électrique, Consuel, NF C 15-100, propriétaire";"NF C 15-100"
"Prise extérieure sans IP44 ?";"electricite";"forbidden";"Toute prise extérieure : IP44 minimum (résistance projections d'eau). Idéalement IP55 si exposée pluie directe. Disjoncteur différentiel 30 mA dédié obligatoire.";"Prise étanche IP44/IP55 sous coffret avec volet.";"prise extérieure, IP44, IP55, étanchéité, jardin";"NF C 15-100"
"Domino dans un coffret électrique ?";"electricite";"discouraged";"Légalement toléré dans une boîte de dérivation, mais NF C 15-100 recommande connexions à vis (Wago) ou bornes automatiques. Domino = risque desserrage, échauffement.";"Connecteurs Wago 222/221 (rapide, fiable), bornes auto débrochables.";"domino, wago, connexion, dérivation";"NF C 15-100"
"Sèche-serviette branché sur prise standard ?";"electricite";"forbidden";"Charge >2 000 W sur prise 16 A en continu = risque échauffement ligne. Doit être sur ligne dédiée + protection 30 mA + en zone autorisée SDB.";"Tirer une ligne 2,5 mm² dédiée depuis le tableau (compter 100-200 € pose).";"sèche-serviette, prise, ligne dédiée, 16A, échauffement";"NF C 15-100"
"Câble VDI passant à côté d'un câble électrique ?";"electricite";"discouraged";"Perturbations électromagnétiques sur les courants faibles (ethernet, TV, alarme). Distance recommandée : 30 cm minimum sur parcours parallèles, ou croisement perpendiculaire.";"Goulottes séparées, ou gaines distinctes ICTA avec écartement.";"VDI, courants faibles, câble électrique, perturbations";"NF C 15-100"
"PER en apparent ?";"plomberie";"discouraged";"Le PER se dégrade aux UV (jaunissement, fragilisation) et craint les chocs. Toléré uniquement en zone protégée, à l'abri.";"Pose en gaine sous chape (ICTA), ou cuivre/multicouche en apparent (résiste mieux).";"PER, apparent, UV, gaine, chape";"DTU 60.5"
"Cuivre raccordé directement sur acier galvanisé ?";"plomberie";"forbidden";"Couple galvanique → corrosion accélérée du galva en quelques mois. Fuites garanties.";"Manchon laiton ou raccord diélectrique entre cuivre et acier galvanisé. Mieux : remplacer le galva par cuivre/multicouche.";"cuivre, galvanisé, corrosion, couple galvanique, diélectrique";""
"Pente d'évacuation WC <1 cm/m ?";"plomberie";"forbidden";"Pente <1 % : stagnation, dépôts, bouchons à répétition. Pente recommandée 2-3 %.";"Reprendre la pente, ou installer un broyeur si reprise impossible.";"évacuation WC, pente, bouchons, broyeur";"DTU 60.11"
"WC suspendu fixé sur cloison alvéolaire ?";"plomberie";"forbidden";"La cloison alvéolaire ne supporte pas les charges (>200 kg en service). Risque arrachement bâti.";"Bâti-support autoportant indépendant fixé sol/plafond, ou renforcement de la cloison avec montants pleins.";"WC suspendu, bâti-support, cloison alvéolaire, autoportant";""
"Multicouche encastré dans une chape ?";"plomberie";"compatible";"Pose admise sous gaine ICTA, raccords accessibles via trappes. Garantie 30+ ans selon marque (Comap, Uponor, etc.).";"";"multicouche, chape, ICTA, raccords, encastré";"DTU 60.5"
"Réducteur de pression obligatoire ?";"plomberie";"conditional";"Obligatoire si pression réseau >5 bars (vérification au manomètre). Recommandé >3 bars pour préserver mitigeurs et électroménager.";"";"réducteur pression, manomètre, mitigeur, électroménager";"DTU 60.1"
"Ballon ECS sans groupe de sécurité ?";"plomberie";"forbidden";"Groupe de sécurité = soupape obligatoire pour évacuer la dilatation thermique. Sans = surpression → fuite ou explosion du ballon.";"Installer un groupe de sécurité 7 bars avec siphon d'évacuation au-dessus du ballon.";"ballon ECS, groupe sécurité, soupape, surpression";"DTU 60.1"
"Mitigeur thermostatique sans clapet anti-retour ?";"plomberie";"forbidden";"Sans clapets : eau chaude reflue dans circuit froid → contamination, instabilité de température, durée de vie cartouche réduite.";"Mitigeurs récents intègrent les clapets. Vérifier la notice. Sinon ajouter en amont sur arrivées EC/EF.";"mitigeur thermostatique, clapet anti-retour, reflux";"DTU 60.1"
"Évacuation lave-linge en garage non chauffé ?";"plomberie";"conditional";"Risque de gel des tuyauteries en hiver (rupture). Isoler les conduites (manchon mousse) + vidange en cas de période de non-utilisation hivernale.";"Déplacer le lave-linge en pièce hors gel, ou ajouter un cordon chauffant antigel sur la conduite.";"lave-linge, garage, gel, isolation, antigel";""
